miles,time,average_split,elevation_gain,elevation_loss,starting_elevation,outside_temp,average_hr,ave_run_cad,ave_stride_length,surface,partner,location,ZIP,runs per zip
3.01,27:59,9:18,33,69,,62,154,168,1.03,pave,N,town,84321,1
2.37,20:15,8:33,26,59,,56,146,172,1.1,pave,N,town,84321,1
2.85,30:51,10:49,52,49,,53,125,154,0.97,pave,Y,town,84321,1
3,25:14,8:24,36,69,,50,152,168,1.14,pave,N,town,84321,1
3,25:32,3:30,33,92,,47,151,169,1.12,pave,N,town,84321,1
4.01,35:59,8:59,46,75,,54,155,167,1.08,pave,N,town,84321,1
5.01,44:36,8:54,75,72,,68,148,168,1.08,pave,N,town,84321,1
5.01,43:08,8:37,75,69,,72,145,167,1.12,pave,N,town,84321,1
4.01,33:59,8:29,33,95,,61,155,169,1.12,pave,N,town,84321,1
3.6,37:12,10:20,453,512,,50,142,159,0.98,trail,N,shoreline,84321,1
4,33:24,8:21,52,79,,48,145,170,1.14,pave,N,town,84321,1
3.15,30:31,9:41,423,413,,52,160,158,1.05,trail,N,shoreline,84321,1
4.5,37:41,8:23,49,79,,45,150,165,1.16,pave,N,town,84321,1
5,43:14,8:38,82,85,,50,144,166,1.12,pave,N,town,84321,1
2,13:53,6:56,30,46,,NA,152,175,1.33,pave,N,town,84321,1
3.54,39:01,11:01,164,197,,NA,154,148,0.98,trail,Y,missoula river,59801,1
3,21:33,7:11,39,56,,NA,155,174,1.28,pave,N,town,84321,1
4,33:15,8:18,197,173,,NA,157,165,1.17,trail,N,marshfield,5658,1
2,14:04,7:02,125,138,,NA,150,186,1.31,trail,N,marshfield,5658,1
4,30:39,7:39,170,187,,NA,153,170,1.23,trail,N,marshfield,5658,1
4,43:00,10:45,702,682,,NA,152,155,0.96,trail,N,Willow,84321,1
3,25:36,8:31,407,308,,NA,149,160,1.18,trail,N,shoreline,84321,1
7.4,2:25:38,17:47,1572,1594,,NA,123,103,0.87,trail,Y,willow,84321,1
3.6,37:28,10:25,656,682,,NA,170,148,1.04,trail,N,ricks,84321,1
5.26,1:23:49,15:56,617,610,6873,NA,129,103,1,trail,Y,tetonia,83452,1
3,24:43,8:14,381,348,4889,NA,157,159,1.23,trail,N,logan,84321,1
2,17:19,8:39,23,43,4427,NA,145,173,1.07,pave,N,logan,84321,1
4.4,40:46,9:16,NA,NA,NA,NA,129,160,1.08,tredmill,N,ak,99734,1
3.5,34:36,9:54,NA,NA,NA,NA,115,155,1.05,tredmill,N,ak,99734,1
5.2,49,9:26,NA,NA,NA,NA,125,157,1.08,tredmill,N,ak,99734,1
6,52:55,8:49,262,318,4583,NA,141,163,1.12,trail,N,reno,89509,1
3,23:44,7:54,436,325,4885,NA,155,159,1.28,trail,N,shoreline,84321,1
6.26,1:04:24,10:17,968,961,5460,NA,149,155,1.01,trail,N,willow,84321,1
1.81,17:04,9:26,20,43,4479,NA,155,166,1.03,pave,N,town,84321,1
3,31:35,10:31,325,331,5447,NA,146,161,0.95,trail,N,green,84321,1
2,18:17,9:09,16,65,4458,NA,168,173,1.05,pave,N,town,84321,1
2,17:25,8:39,20,33,4484,NA,142,162,1.13,pave,N,town,84321,1
